"Geography","Year","Question Code","Question Text","Response Category","Response Variable","Gender","Value"
"India",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 3 and 4 hours","sog_w2_hrs_dmstc_34","combined",11.00
"Malaysia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 3 and 4 hours","sog_w2_hrs_dmstc_34","male",13.00
"Malaysia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 3 and 4 hours","sog_w2_hrs_dmstc_34","female",16.00
"Malaysia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 3 and 4 hours","sog_w2_hrs_dmstc_34","combined",15.00
"Singapore",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 3 and 4 hours","sog_w2_hrs_dmstc_34","male",9.00
"Singapore",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 3 and 4 hours","sog_w2_hrs_dmstc_34","female",11.00
"Singapore",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 3 and 4 hours","sog_w2_hrs_dmstc_34","combined",10.00
"Australia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 3 and 4 hours","sog_w2_hrs_dmstc_34","male",12.00
"Australia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 3 and 4 hours","sog_w2_hrs_dmstc_34","female",16.00
"Australia",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 3 and 4 hours","sog_w2_hrs_dmstc_34","combined",14.00
"New Zealand",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 3 and 4 hours","sog_w2_hrs_dmstc_34","male",10.00
"New Zealand",2021,"B.24","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)","Between 3 and 4 hours","sog_w2_hrs_dmstc_34","female",10.00
